gameid,league,year,date,game,playoffs,side,team,gamelength,result,teamkills,teamdeaths,totalgold,enemy_gold,enemy_team
ESPORTSTMNT03/1300164,LPLOL,2020,1/19/2020 11:58,1,0,Blue,SAMCLAN Esports Club,1795,1,29,9,60575,44486,GeekCase eSports
ESPORTSTMNT03/1300164,LPLOL,2020,1/19/2020 11:58,1,0,Red,GeekCase eSports,1795,0,9,29,44486,60575,SAMCLAN Esports Club
5668-7281,LPL,2020,1/19/2020 12:27,1,0,Blue,EDward Gaming,1841,1,18,4,56475,46226,Top Esports
5668-7281,LPL,2020,1/19/2020 12:27,1,0,Red,Top Esports,1841,0,4,18,46226,56475,EDward Gaming
ESPORTSTMNT03/1300175,LPLOL,2020,1/19/2020 13:11,1,0,Blue,GTZ Bulls,2128,0,13,26,54203,66689,Boavista FC
ESPORTSTMNT03/1300175,LPLOL,2020,1/19/2020 13:11,1,0,Red,Boavista FC,2128,1,26,14,66689,54203,GTZ Bulls
5668-7282,LPL,2020,1/19/2020 13:19,2,0,Blue,Top Esports,1657,1,14,4,52489,41349,EDward Gaming
5668-7282,LPL,2020,1/19/2020 13:19,2,0,Red,EDward Gaming,1657,0,4,14,41349,52489,Top Esports
5668-7283,LPL,2020,1/19/2020 14:07,3,0,Blue,EDward Gaming,1871,0,4,13,46855,55135,Top Esports
5668-7283,LPL,2020,1/19/2020 14:07,3,0,Red,Top Esports,1871,1,13,4,55135,46855,EDward Gaming
ESPORTSTMNT03/1300187,LPLOL,2020,1/19/2020 14:17,1,0,Blue,EGN Esports,1519,1,12,4,47101,35271,Cidade Curiosa Esports
ESPORTSTMNT03/1300187,LPLOL,2020,1/19/2020 14:17,1,0,Red,Cidade Curiosa Esports,1519,0,4,12,35271,47101,EGN Esports
ESPORTSTMNT03/1300199,LPLOL,2020,1/19/2020 15:19,1,0,Blue,Estoril Praia eSports,2028,0,14,35,54938,70053,For The Win Esports
ESPORTSTMNT03/1300199,LPLOL,2020,1/19/2020 15:19,1,0,Red,For The Win Esports,2028,1,35,14,70053,54938,Estoril Praia eSports
